redshift,lum_dist
7.98,80257.96705891048
7.99,80373.39955982356
8.0,80488.84668073291
8.01,80604.3083968956
8.02,80719.78468363926
8.03,80835.27551636173
8.040000000000001,80950.78087053086
8.05,81066.30072168408
8.06,81181.83504542836
8.07,81297.38381743967
8.08,81412.94701346291
8.09,81528.52460931148
8.1,81644.1165808671
8.11,81759.72290407952
8.120000000000001,81875.34355496622
8.13,81990.97850961215
8.14,82106.62774416944
8.15,82222.29123485724
8.16,82337.96895796129
8.17,82453.66088983379
8.18,82569.36700689308
8.19,82685.08728562336
8.2,82800.82170257444
8.21,82916.57023436154
8.22,83032.33285766492
8.23,83148.1095492298
8.24,83263.90028586584
8.25,83379.70504444711
8.26,83495.52380191183
8.27,83611.35653526195
8.28,83727.20322156305
8.290000000000001,83843.06383794404
8.3,83958.9383615969
8.31,84074.82676977648
8.32,84190.72903980022
8.33,84306.64514904788
8.34,84422.57507496134
8.35,84538.51879504435
8.36,84654.47628686232
8.370000000000001,84770.44752804202
8.38,84886.43249627133
8.39,85002.43116929907
8.4,85118.44352493477
8.41,85234.46954104841
8.42,85350.5091955701
8.43,85466.56246648998
8.44,85582.62933185796
8.45,85698.70976978341
8.46,85814.80375843507
8.47,85930.91127604063
8.48,86047.0323008867
8.49,86163.16681131847
8.5,86279.31478573955
8.51,86395.47620261167
8.52,86511.65104045453
8.53,86627.83927784553
8.540000000000001,86744.0408934196
8.55,86860.25586586894
8.56,86976.48417394275
8.57,87092.72579644721
8.58,87208.98071224507
8.59,87325.24890025545
8.6,87441.53033945379
8.61,87557.82500887141
8.620000000000001,87674.13288759548
8.63,87790.45395476875
8.64,87906.78818958926
8.65,88023.13557131033
8.66,88139.49607924011
8.67,88255.86969274162
8.68,88372.25639123225
8.69,88488.6561541839
8.700000000000001,88605.06896112251
8.71,88721.49479162798
8.72,88837.93362533387
8.73,88954.38544192736
8.74,89070.85022114897
8.75,89187.32794279227
8.76,89303.81858670381
8.77,89420.3221327829
8.78,89536.83856098137
8.790000000000001,89653.36785130337
8.8,89769.9099838053
8.81,89886.46493859541
8.82,90003.03269583381
8.83,90119.61323573213
8.84,90236.20653855348
8.85,90352.81258461208
8.86,90469.43135427323
8.870000000000001,90586.062827953
8.88,90702.70698611818
8.89,90819.36380928596
8.9,90936.03327802381
8.91,91052.71537294931
8.92,91169.41007472994
8.93,91286.11736408291
8.94,91402.83722177497
